code,name,city,province
BTJ,Sultan Iskandar Muda,Banda Aceh,Aceh
KNO,Kualanamu,Medan / Deli Serdang,Sumatera Utara
DTB,Silangit (Raja Sisingamangaraja XII),Siborong-Borong,Sumatera Utara
FLZ,Ferdinand Lumban Tobing,Sibolga,Sumatera Utara
PDG,Minangkabau,Padang / Pariaman,Sumatera Barat
PKU,Sultan Syarif Kasim II,Pekanbaru,Riau
BTH,Hang Nadim,Batam,Kepulauan Riau
TNJ,Raja Haji Fisabilillah,Tanjung Pinang,Kepulauan Riau
DJB,Sultan Thaha,Jambi,Jambi
PLM,Sultan Mahmud Badaruddin II,Palembang,Sumatera Selatan
BKS,Fatmawati Soekarno,Bengkulu,Bengkulu
TKG,Radin Inten II,Bandar Lampung,Lampung
PGK,Depati Amir,Pangkal Pinang,Bangka Belitung
TJQ,H.A.S. Hanandjoeddin,Tanjung Pandan (Belitung),Bangka Belitung
CGK,Soekarno-Hatta,Jakarta / Tangerang,Banten
HLP,Halim Perdanakusuma,Jakarta,DKI Jakarta
BDO,Husein Sastranegara,Bandung,Jawa Barat
KJT,Kertajati (Majalengka),Majalengka,Jawa Barat
SRG,Jenderal Ahmad Yani,Semarang,Jawa Tengah
SOC,Adi Soemarmo,Surakarta (Solo),Jawa Tengah
JOG,Adisutjipto,Yogyakarta,DI Yogyakarta
YIA,Yogyakarta International Airport,Kulon Progo,DI Yogyakarta
SUB,Juanda,Surabaya,Jawa Timur
MLG,Abdul Rachman Saleh,Malang,Jawa Timur
BWX,Banyuwangi,Banyuwangi,Jawa Timur
PNK,Supadio,Pontianak,Kalimantan Barat
PKN,Iskandar,Pangkalan Bun,Kalimantan Tengah
SMQ,H. Asan,Sampit,Kalimantan Tengah
PKY,Tjilik Riwut,Palangkaraya,Kalimantan Tengah
BDJ,Syamsudin Noor,Banjarmasin,Kalimantan Selatan
BPN,SAMS Sepinggan,Balikpapan,Kalimantan Timur
AAP,Aji Pangeran Tumenggung Pranoto,Samarinda,Kalimantan Timur
BEJ,Kalimarau,Berau,Kalimantan Timur
TRK,Juwata,Tarakan,Kalimantan Utara
DPS,I Gusti Ngurah Rai,Denpasar,Bali
LOP,Zainuddin Abdul Madjid,Lombok,Nusa Tenggara Barat
SWQ,Sultan Muhammad Kaharuddin III,Sumbawa Besar,Nusa Tenggara Barat
BMU,Sultan Muhammad Salahudin,Bima,Nusa Tenggara Barat
KOE,El Tari,Kupang,Nusa Tenggara Timur
LBJ,Komodo,Labuan Bajo,Nusa Tenggara Timur
ENE,H. Hasan Aroeboesman,Ende,Nusa Tenggara Timur
MOF,Frans Seda,Maumere,Nusa Tenggara Timur
TMC,Tambolaka,Sumba Barat Daya,Nusa Tenggara Timur
MDC,Sam Ratulangi,Manado,Sulawesi Utara
GTO,Djalaluddin,Gorontalo,Gorontalo
PLW,Mutiara SIS Al-Jufrie,Palu,Sulawesi Tengah
LUW,Syukuran Aminuddin Amir,Luwuk,Sulawesi Tengah
MJU,Tampa Padang,Mamuju,Sulawesi Barat
UPG,Sultan Hasanuddin,Makassar,Sulawesi Selatan
KDI,Haluoleo,Kendari,Sulawesi Tenggara
TTE,Sultan Babullah,Ternate,Maluku Utara
AMQ,Pattimura,Ambon,Maluku
SOQ,Domine Eduard Osok,Sorong,Papua Barat Daya
MKW,Rendani,Manokwari,Papua Barat
DJJ,Sentani,Jayapura,Papua
BIK,Frans Kaisiepo,Biak,Papua
TIM,Mozes Kilangin,Timika,Papua Tengah
MKQ,Mopah,Merauke,Papua Selatan
